provider,model,problem_identifier,presentation,historical_audit_payload_sha256,historical_logical_request_sha256,historical_cell_sha256,release_derived_transmitted_body_sha256,custom_id
openai,gpt-5.6-sol,block_split_061,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,655763bec4c1e268eb28b838ef6f689e7ae41051463238ec5733332e7a8b278e,0009ef5ca8e66db6d9ff9ef787fc510101cc187f2f06de9d3ae09018d67e5058,270379a87710f2d6c6c6a6872be412c885c08c80e621979863128e2aec1fc04c,fsb_0009ef5ca8e66db6d9ff9ef787fc510101cc187f
openai,gpt-5.6-sol,block_split_062,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,963a681fa66f084e1128c11b6a31dca4ae1de762cc7737aa5662a633cbe4d65e,8845ecc9cf2f8381d86f546ad33a98648613640d4d71826feeb59ac46ba53fa3,9174ec4fc9d257b382a579f82fbcf96434c1616656e4efc9117acc04e5cf5255,fsb_8845ecc9cf2f8381d86f546ad33a98648613640d
openai,gpt-5.6-sol,block_split_063,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,2bf1a37e31e3750dd907173b576ff1859672d884657fd6fe9337e2a1a651ed32,69e36ed8312303f2b93dbf80bbe6f4650cdf2b8af607a009c4fa8cf76a188a37,b81c3f94144e64ade05604cfaa93f88cab681574b41b938a8cf11b7eac96075b,fsb_69e36ed8312303f2b93dbf80bbe6f4650cdf2b8a
openai,gpt-5.6-sol,block_split_064,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,749cc7a716c0c7430c6f0d55c175ccf3a854ac8d31f4c67c79f9be5024212f56,05ff3cc9808ef0069f33ae9a14c3d4ba47dfafd25d27434693d2686049281c07,4e9d0279992f2f4c11c8dec79f491a669d39c8790dc2f562cc43c60c1a7e89e9,fsb_05ff3cc9808ef0069f33ae9a14c3d4ba47dfafd2
openai,gpt-5.6-sol,block_split_explore_cleaved_01,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,e2f2f49a63bf9c4db753cbc2d252258236a96003ad7979f83e71ad3fc17454bb,4d6918e39e891261f43028de4d4c8dc176b11119aba14969c1b64b4335b82ae8,91a6e3b8d4a7ae38736ab75aab54b089515093c535dcb096473cc6ca87fe3e35,fsb_4d6918e39e891261f43028de4d4c8dc176b11119
openai,gpt-5.6-sol,block_split_explore_cleaved_05,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,7b98c95b633c9241649ae64271ab1747c1ca5080f52ced8f841b94c980e7310f,e62e7d825211c5afb4774847ceb695a9893e8033a0c0aba4daf6bca6ea3657a6,57d7d42da3b2df0b3df4849419dbb01dce02db1e4247b0e21eb5122cb11ee00b,fsb_e62e7d825211c5afb4774847ceb695a9893e8033
openai,gpt-5.6-sol,block_split_explore_cleaved_06,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,1a892c137baa9fc99c39fa0b5e7d292ba2027ad609b3ffe02a1f9be7a6e6ecb6,80ef0e38975b4795a6dbf27ba3a201bd5084386cf1b4523e7be159f447c73fce,5b91c6c08091631262b37116f405e34ab4a37d5dcecbcad8d03945c754a07bff,fsb_80ef0e38975b4795a6dbf27ba3a201bd5084386c
openai,gpt-5.6-sol,block_split_explore_cleaved_07,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,53b7a14b1a051c4ff79cdcaf4a290dbb266be11605d405ab1a55f6e530065acb,7228f6e4f2dd3ddfad9f801515b23742a1c7cbfb393f0bf07ecab89da223edd7,ca2e8435139e7916e80c2e981f8f04c869149ac668e4b6948bb32a094392fd9c,fsb_7228f6e4f2dd3ddfad9f801515b23742a1c7cbfb
openai,gpt-5.6-sol,block_split_explore_cleaved_08,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,9cfed492f4c3f5d964446b44b49d930c334276aca2db968c89d129d3adc81fd5,40b560a7f02ac0ceb3c2d50b95c9380c218e072468ee3828d9dfb1779e550ca3,b152e6c4de381d95f65090dd47c74e969e9315350aa4e1e3f3923b98a08e7882,fsb_40b560a7f02ac0ceb3c2d50b95c9380c218e0724
openai,gpt-5.6-sol,block_split_explore_cleaved_10,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,be4c184b951c73df71c50f288abfa4f59b20fde0d53b6bb53d8fe24738b225bd,5b5696e3d5d88edae49522247ec4d3d4cfd29f62f99cc2ba1bd26cb965b590d0,89332fca1bc80551235452c7a36dde333df006c9dd8496e547ec913c6cb4caba,fsb_5b5696e3d5d88edae49522247ec4d3d4cfd29f62
openai,gpt-5.6-sol,block_split_explore_cleaved_11,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,b0653d3dc53922b1069baf63c3719a6d8d2fe44358dc2b8df058cbe25d7cdc18,8e5948fafee105cd557f770818488c53943210ff9da20586e72f2b7e7e9c20ba,a3838c0880f627144d5b739d91720a12c9160346aea506445214ce2ac11e0f6e,fsb_8e5948fafee105cd557f770818488c53943210ff
openai,gpt-5.6-sol,block_split_explore_cleaved_13,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,5da74cb26ce4845cc76cf9ac142abda0f0233e76041f5b13376a281baef4645d,79fdbf8fef5c719c3be74d8e8507d04bf84f839cc5f89350511928ab9af67d84,d34fc030c74ebed8eedec8d20c42eb8ab2e50debb93632c66e86902bb2ed9302,fsb_79fdbf8fef5c719c3be74d8e8507d04bf84f839c
openai,gpt-5.6-sol,block_split_explore_cleaved_14,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,efdc2c211eb9cec007ecc11d3cc133b57ecdc6d65ef595545f3aaf43dce54ccb,d46d8b1317868493f0e7807e4491c94ac2a1535a053841abd7f38b1c3f5b20bc,dbc7b75bddd80a74711e935d70e2571dcfdb12b011a5b1543da6f2063bab8b22,fsb_d46d8b1317868493f0e7807e4491c94ac2a1535a
openai,gpt-5.6-sol,block_split_explore_cleaved_15,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,1e88aec5c80dbe99daecd136946b600baba8d44fbd50d332b5f132759b093dec,ad276628363b85223c75cd660ed7faa4fb58630ea90ddd75fd8d42c09333d38d,f9f898cac8c25e1fe7fe75a5ef15d5b6da7611c8c28167c4037fc36dc2f4beeb,fsb_ad276628363b85223c75cd660ed7faa4fb58630e
openai,gpt-5.6-sol,block_split_explore_cleaved_17,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,f7f7e64cb33338cf56ee45735cf38dde9e02a767233e20993269cf2ba8a374ff,3fe1236f8ae9b8c0ca2ca00df4cef3770fc7d7bc7f229aa2ea36178d698b7cf3,09d41903a4cb31900fb235fd8ae51f45ff5672964db7b9e09c28ef532907788d,fsb_3fe1236f8ae9b8c0ca2ca00df4cef3770fc7d7bc
openai,gpt-5.6-sol,block_split_explore_cleaved_19,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,9c24f69a1e987988e5f4b66a0846fe1e4435e7a945b3df4f3f71b0035d86bc7b,e20b58715ee92481e7fd233d20024094000c051d14983826136bfffc021be496,4a56b539a8793debbf306122745889d1016223ac86e74cb7f07de1acf9e68f2e,fsb_e20b58715ee92481e7fd233d20024094000c051d
